﻿CODGEO;Libellé commune ou ARM;Région;Département;Population en 2012;Population en 2007;Superficie;Naissances entre 2007 et 2012;Décès entre 2007 et 2012;Ménages en 2012;Nombre de naissances domiciliées en 2013;Nombre de décès domiciliés en 2013;Logements en 2012;Résidences principales en 2012;Rés secondaires et logts occasionnels en 2012;Logements vacants en 2012;Rés princ occupées Propriétaires en 2012;Nombre de ménages fiscaux en 2012;Part des ménages fiscaux imposés  en 2012;Médiane du revenu disponible par UC en 2012;Taux de pauvreté en 2012;Emplois au LT en 2012;Emplois salariés au LT en 2012;Emplois au LT en 2007;Pop 15-64 ans en 2012;Chômeurs 15-64 ans en 2012;Actifs 15-64 ans en 2012;Total des ets actifs au 31 décembre 2012;Ets actifs agriculture au 31/12/2012;Ets actifs industrie au 31/12/2012;Ets actifs construction au 31/12/2012;Ets actifs commerce services au 31/12/2012;Ets actifs commerce réparation auto au 31/12/2012;Ets actifs adm publique au 31/12/2012;Ets actifs de 1 à 9 salariés au 31 décembre 2012;Ets actifs 10 salariés ou plus au 31 décembre 2012;coordonnees;Métropole
2B332;Urtaca;94;2B;187.0;195.0;31.26;16.0;10.0;82.1978021978;4.0;2.0;215.862802198;82.1978021978;127.635;6.03;62.6758241758;85.0;;19579.1304348;;48.7769300159;37.5764356265;41.8478310997;110.967032967;5.13736263736;82.1978021978;37.0;11.0;5.0;6.0;13.0;3.0;2.0;7.0;1.0;42.6207885418, 9.14775307705;
2B167;Montegrosso;94;2B;453.0;414.0;22.78;16.0;10.0;206.366666667;4.0;4.0;419.216666667;206.366666667;158.873684211;53.9763157895;154.02;174.0;;18667.1428571;;80.8792990861;31.4752680312;62.409005865;268.78;20.1333333333;185.226666667;86.0;17.0;2.0;18.0;40.0;8.0;9.0;16.0;2.0;42.543505718, 8.85623474811;
2B230;Piève;94;2B;115.0;121.0;19.7;6.0;8.0;56.0504201681;0.0;5.0;123.784365122;56.0504201681;65.7706422018;1.96330275229;46.3865546218;;;;;13.6698806031;5.9456401377;16.6809212149;72.4789915966;7.73109243697;46.3865546218;15.0;3.0;2.0;1.0;8.0;1.0;1.0;1.0;0.0;42.5857060069, 9.27821414573;
2A278;Serra-di-Scopamène;94;2A;104.0;108.0;20.42;2.0;6.0;53.0;0.0;4.0;259.0;53.0;203.0;3.0;32.0;;;;;27.6874793574;20.9275212862;21.6802508969;67.0;9.0;49.0;21.0;2.0;0.0;2.0;12.0;2.0;5.0;4.0;0.0;41.778887385, 9.10982740043;
2A288;Sotta;94;2A;1104.0;872.0;66.5;64.0;51.0;493.019178082;8.0;18.0;807.73400698;493.019178082;267.0;47.7148288973;334.728767123;403.0;;19536.0;;144.347308237;84.0062334275;155.371641959;658.367123288;58.4767123288;478.904109589;148.0;20.0;10.0;33.0;75.0;9.0;10.0;26.0;3.0;41.555960372, 9.18208356103;
2B216;Piazzali;94;2B;17.0;14.0;0.78;0.0;0.0;10.0;0.0;0.0;23.1333333333;10.0;9.09230769231;4.04102564103;6.0;;;;;3.08;3.08;1.86134265963;10.0;1.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;42.3198576834, 9.40593909318;
2A146;Loreto-di-Tallano;94;2A;50.0;46.0;6.93;2.0;4.0;28.0;0.0;2.0;69.0;28.0;34.0;7.0;25.0;;;;;2.985;1.0;5.79411352876;22.0;5.0;17.0;6.0;4.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;41.6987192388, 9.03120917248;
2B063;Carcheto-Brustico;94;2B;28.0;24.0;5.19;2.0;3.0;12.551724137899999;0.0;0.0;73.6906130268;12.551724137899999;57.1944444444;3.94444444444;7.72413793103;;;;;5.79310344828;0.965517241379;3.14950570868;17.3793103448;5.79310344828;12.551724137899999;5.0;1.0;1.0;0.0;2.0;0.0;1.0;1.0;0.0;42.3547035924, 9.36050471193;
2B172;Murato;94;2B;626.0;592.0;20.38;24.0;24.0;286.510277652;3.0;14.0;430.934667896;286.510277652;144.424390244;0.0;183.529715222;238.0;;18458.5714286;;108.15523191;63.6683419979;94.7338227671;396.587855972;32.6275049284;263.019007672;77.0;13.0;5.0;14.0;32.0;11.0;13.0;13.0;1.0;42.5671895141, 9.32704854356;
2B355;Volpajola;94;2B;453.0;433.0;13.03;11.0;13.0;175.262195456;3.0;6.0;244.682865034;175.262195456;63.1096996162;6.31096996163;117.178156739;128.0;;17720.6666667;;58.95009798;32.8569668898;47.6259733305;311.789576588;27.0411130935;211.64158417;41.0;15.0;2.0;8.0;13.0;4.0;3.0;6.0;1.0;42.5200129525, 9.36071505878;
